Date,Headline,Summary
AM Joy - 3:12 PM 3/23/2019,Mueller report discussed by Rep. John Lewis,"Now that the final Mueller report has been released, the response of the Democrats is seen as critical, especially if the report is not released by Attorney General William Barr to the public. Rep. John Lewis joins Joy Reid to discuss."
AM Joy - 3:04 PM 3/23/2019,Attorney General Barr reviewing Mueller report,"Special Counsel Robert Mueller has officially submitted his report, leaving the next steps in the hands of Trump administration Attorney General William Barr. Will Barr share the findings with the American people? Joy Reid and her panel discuss what..."
AM Joy - 2:42 PM 3/23/2019,Mueller report discussed by presidential candidate Julian Castro,"The Mueller report was discussed by Democratic presidential candidate Julian Castro on AM JOY, who told Joy Reid he believes a U.S. president should be indictable."
AM Joy - 2:30 PM 3/23/2019,Special Counsel Mueller submitted final report to A.G. Barr,"Robert Mueller is not making any further indictments with the release of his final report, which was met with apparent satisfaction by Donald Trump’s supporters. But is it too soon to feel vindicated? Joy Reid and her panel discuss the additional Trump..."
Weekends with Alex Witt - 2:28 PM 3/23/2019,New book claims Kushner pushed Trump to fire James Comey,"A new book claims Jared Kushner, the president’s son-in-law and senior adviser, prompted the firing of then-FBI Director James Comey, a decision that would trigger the start of Robert Mueller’s investigation just days later. Author and journalist Vicky"
MSNBC Live - 1:47 PM 3/23/2019,We’re not getting anything today on the Mueller report: DOJ...,"Attorney General William Barr will not submit a summary of his findings from the Mueller report to Congress today (Saturday), a senior Department of Justice official tells NBC News"
AM Joy - 12:52 PM 3/23/2019,Trump Jr. could be in jeopardy in NY Southern District experts...,"The Mueller report has been released, leaving many asking why Donald Trump, Jr., Jared Kushner, and Ivanka Trump have not been named, given their numerous connections with Russians. Could the president’s children be in legal jeopardy? Joy Reid and her..."
MSNBC Live - 12:45 PM 3/23/2019,The Mueller report: What we know so far,Attorney General William Barr went to his office Saturday morning to review the long awaited report from special counsel Robert Mueller. This happened as House Democrats plan to participate in a conference call to discuss the Mueller report's...
AM Joy - 12:35 PM 3/23/2019,Mueller report could be released to public eventually,"The Robert Mueller report has been released after months of speculation. Now that the special counsel has concluded his investigation, what new information could the public learn? Plus, Joy Reid and her panel discuss the widespread disappointment over..."
9:52 AM 3/23/2019,Sen. Coons: 'Everything' in Mueller report should be released...,Democratic Senator Chris Coons of Delaware said “everything” in special counsel Robert Mueller’s report should be released to Congress and “as much as possible” should be released to the public. The Senate Judiciary Committee member discusses with...
